region,sex,age,marst,educ,incwage
east south central div,male,22,never married/single,1 year of college,0
east south central div,female,65,never married/single,grade 11,0
east south central div,male,33,never married/single,grade 12,0
east south central div,male,21,never married/single,grade 12,0
east south central div,male,58,divorced,grade 9,0
east south central div,male,50,"married, spouse absent",grade 12,0
east south central div,male,61,widowed,grade 12,0
east south central div,male,61,divorced,grade 12,0
east south central div,male,52,divorced,grade 10,0
east south central div,male,23,never married/single,1 year of college,7000
east south central div,female,21,never married/single,1 year of college,3000
east south central div,male,41,"married, spouse absent",grade 11,0
east south central div,male,55,separated,"grade 5, 6, 7, or 8",0
east south central div,male,19,never married/single,grade 12,26000
east south central div,female,22,never married/single,1 year of college,2100
east south central div,female,36,separated,grade 12,7200
east south central div,female,21,never married/single,1 year of college,4700
east south central div,male,28,never married/single,grade 9,0
east south central div,male,65,"married, spouse absent",grade 9,0
east south central div,male,48,divorced,grade 12,24000
east south central div,male,41,separated,grade 12,10000
east south central div,male,27,never married/single,grade 9,23500
east south central div,male,24,never married/single,1 year of college,7000
east south central div,male,22,never married/single,1 year of college,49300
east south central div,male,31,never married/single,grade 12,0
east south central div,male,55,never married/single,grade 12,0
east south central div,male,62,divorced,1 year of college,0
east south central div,male,63,divorced,1 year of college,0
east south central div,female,46,never married/single,n/a or no schooling,0
east south central div,female,45,divorced,"grade 5, 6, 7, or 8",0
east south central div,female,24,never married/single,grade 12,0
east south central div,male,32,divorced,grade 12,30000
east south central div,female,39,separated,grade 12,0
east south central div,female,26,never married/single,grade 12,31500
east south central div,male,45,"married, spouse present",2 years of college,72000
east south central div,female,47,"married, spouse present",5+ years of college,56000
east south central div,female,18,never married/single,grade 10,3000
east south central div,male,48,"married, spouse present",1 year of college,54000
east south central div,female,41,"married, spouse present",4 years of college,9200
east south central div,female,55,"married, spouse present",grade 12,125000
east south central div,male,57,"married, spouse present",grade 12,0
east south central div,female,52,"married, spouse present",grade 12,0
east south central div,male,64,"married, spouse present",grade 12,26000
east south central div,female,58,"married, spouse present",2 years of college,0
east south central div,male,65,"married, spouse present",grade 11,0
east south central div,male,63,"married, spouse present",grade 12,0
east south central div,female,56,"married, spouse present",grade 12,55000
east south central div,male,19,never married/single,grade 11,0
east south central div,male,57,"married, spouse present",grade 12,40500
east south central div,female,57,"married, spouse present",grade 12,0
east south central div,female,20,never married/single,grade 12,1800
east south central div,female,26,never married/single,1 year of college,12000
east south central div,female,59,separated,1 year of college,21800
east south central div,male,57,"married, spouse present",grade 12,42000
east south central div,female,56,"married, spouse present",grade 10,0
east south central div,female,64,divorced,grade 12,0
east south central div,male,52,"married, spouse present",5+ years of college,175000
east south central div,female,55,"married, spouse present",5+ years of college,2000
east south central div,female,56,"married, spouse present",grade 12,200
east south central div,male,61,"married, spouse present",grade 12,63000
east south central div,male,26,never married/single,2 years of college,35000
east south central div,male,45,never married/single,4 years of college,20000
east south central div,female,46,separated,grade 11,0
east south central div,female,38,"married, spouse present",2 years of college,73000
east south central div,male,37,"married, spouse present",4 years of college,40000
east south central div,male,62,"married, spouse present",5+ years of college,92000
east south central div,female,62,"married, spouse present",5+ years of college,0
east south central div,female,56,divorced,4 years of college,12000
east south central div,male,31,never married/single,grade 12,32000
east south central div,male,62,"married, spouse present",grade 12,368000
east south central div,female,61,"married, spouse present",grade 12,0
east south central div,male,44,"married, spouse present",2 years of college,49000
east south central div,female,47,"married, spouse present",4 years of college,0
east south central div,male,19,never married/single,grade 12,0
east south central div,male,34,"married, spouse present",1 year of college,0
east south central div,female,34,"married, spouse present",4 years of college,25000
east south central div,male,49,divorced,grade 12,0
east south central div,male,62,"married, spouse present",1 year of college,0
east south central div,female,58,"married, spouse present",grade 12,0
east south central div,female,35,never married/single,grade 12,15000
east south central div,male,29,never married/single,grade 12,18000
east south central div,female,56,never married/single,grade 12,0
east south central div,male,64,never married/single,grade 12,0
east south central div,female,62,never married/single,grade 12,0
east south central div,female,41,never married/single,grade 12,33300
east south central div,female,25,never married/single,grade 12,4000
east south central div,female,38,"married, spouse present",4 years of college,50000
east south central div,male,46,"married, spouse present",4 years of college,52000
east south central div,male,64,"married, spouse present",2 years of college,58000
east south central div,female,62,"married, spouse present",4 years of college,30000
east south central div,female,62,widowed,grade 12,0
east south central div,female,57,never married/single,grade 12,0
east south central div,female,52,"married, spouse present",4 years of college,65000
east south central div,male,60,"married, spouse present",4 years of college,67000
east south central div,female,46,"married, spouse present",4 years of college,67000
east south central div,male,46,"married, spouse present",1 year of college,75000
east south central div,male,63,divorced,grade 12,0
east south central div,female,29,divorced,1 year of college,32000
east south central div,male,59,divorced,2 years of college,90000
east south central div,female,47,divorced,grade 12,12000
east south central div,male,58,never married/single,grade 12,26000
east south central div,female,51,"married, spouse present",1 year of college,20100
east south central div,female,36,never married/single,5+ years of college,100000
east south central div,female,30,never married/single,2 years of college,50000
